id,title,year,rating,rating_category,processed_text,title_length
872906,Jawan,2023,7.3,Good,jawan,5
781732,Animal,2023,7.4,Good,animal,6
975533,The Archies,2023,7.1,Good,archies,11
734253,Adipurush,2023,5.3,Neutral,adipurush,9
20453,3 Idiots,2009,8,Good,idiot,8
720557,Tiger 3,2023,5.9,Neutral,tiger,7
10757,Kabhi Khushi Kabhie Gham,2001,7.7,Good,kabhi khushi kabhie gham,24
1211409,Kya Masti Kya Dhoom,2023,6.98281654,Bad,kya masti kya dhoom,19
864692,Pathaan,2023,6.6,Neutral,pathaan,7
592508,Sooryavanshi,2021,5.8,Neutral,sooryavanshi,12
950071,Jaane Jaan,2023,7,Bad,jaane jaan,10
496331,Brahmāstra Part One: Shiva,2022,6.6,Neutral,brahmāstra part one shiva,26
960876,Dunki,2023,10,Good,dunki,5
783461,Looop Lapeta,2022,6.1,Neutral,looop lapeta,12
444713,Commando 2 -  The Black Money Trail,2017,6.1,Neutral,commando black money trail,35
1209321,Majbooriyan,2023,5.397897839,Bad,majbooriyan,11
30066,Gol Maal,1979,7.3,Good,gol maal,8
885331,Gadar 2,2023,6.6,Neutral,gadar,7
1178521,Fire of Love: RED,2023,5.187143546,Bad,fire love red,17
4435,Aśoka,2001,6.4,Neutral,aśoka,5
1211406,Kaisi Ye Dor,2023,5.611117398,Bad,kaisi ye dor,12
13986,Dil To Pagal Hai,1997,6.9,Neutral,dil pagal hai,16
1018228,Chor Nikal Ke Bhaga,2023,7.2,Good,chor nikal ke bhaga,19
814215,Sam Bahadur,2023,8.5,Good,sam bahadur,11
767377,Dhamaka,2021,6.9,Neutral,dhamaka,7
1198725,Mast Mein Rehne Ka,2023,7,Bad,mast mein rehne ka,18
848116,Rocky Aur Rani Kii Prem Kahaani,2023,6.2,Neutral,rocky aur rani kii prem kahaani,31
664332,Gangubai Kathiawadi,2022,7.4,Good,gangubai kathiawadi,19
505175,Love per Square Foot,2018,6.7,Neutral,love per square foot,20
283589,Bang Bang!,2014,6.2,Neutral,bang bang,10
599925,Shershaah,2021,7.4,Good,shershaah,9
524288,Period. End of Sentence.,2018,7.9,Good,period end sentence,24
611359,Tu Jhoothi Main Makkaar,2023,6.4,Neutral,tu jhoothi main makkaar,23
33124,1942: A Love Story,1994,6,Neutral,love story,18
669583,Did It Happen?,2020,6.5,Neutral,happen,14
888710,OMG 2,2023,7.4,Good,omg,5
715765,Bachchhan Paandey,2022,5.3,Neutral,bachchhan paandey,17
1029827,Drishyam 2,2022,8,Good,drishyam,10
1136736,Lust Stories 2,2023,5.4,Neutral,lust story,14
413882,Ok Jaanu,2017,5.9,Neutral,ok jaanu,8
467106,Bareilly Ki Barfi,2017,6.7,Neutral,bareilly ki barfi,17
1131409,Mission Raniganj,2023,5.9,Neutral,mission raniganj,16
695969,Haseen Dillruba,2021,6.5,Neutral,haseen dillruba,15
62883,Hum Saath Saath Hain,1999,5.9,Neutral,hum saath saath hain,20
601635,Laal Singh Chaddha,2022,6.5,Neutral,laal singh chaddha,18
259720,2 States,2014,6.6,Neutral,state,8
117691,Gangs of Wasseypur - Part 1,2012,7.2,Good,gang wasseypur part,27
878926,Khufiya,2023,6,Neutral,khufiya,7
56969,Tere Naam,2003,6.6,Neutral,tere naam,9
934419,Qala,2022,6.5,Neutral,qala,4
278347,Entertainment,2014,4.9,Neutral,entertainment,13
611598,Samrat Prithviraj,2022,7.2,Good,samrat prithviraj,17
15974,Bhoothnath,2008,6.1,Neutral,bhoothnath,10
1072758,Kadak Singh,2023,6.3,Neutral,kadak singh,11
168245,Kai Po Che!,2013,6.9,Neutral,kai po che,11
46387,Hum Aapke Hain Koun..!,1994,6.4,Neutral,hum aapke hain koun,22
1063708,Joram,2023,6.618627831,Bad,joram,5
125225,Star,1982,5.8,Neutral,star,4
26277,Mujhse Dosti Karoge!,2002,6.3,Neutral,mujhse dosti karoge,20
1046620,The Vaccine War,2023,7.5,Good,vaccine war,15
733038,Pippa,2023,4.5,Neutral,pippa,5
663457,Govinda Naam Mera,2022,5.2,Neutral,govinda naam mera,17
682401,Ek Villain Returns,2022,6.3,Neutral,ek villain return,18
805785,Fukrey 3,2023,6.1,Neutral,fukrey,8
849775,Bye 2,2020,6.136174029,Bad,bye,5
393562,Raman Raghav 2.0,2016,7.1,Good,raman raghav,16
541495,The Man Who Feels No Pain,2019,6.6,Neutral,man feel pain,25
900783,The Kashmir Files,2022,7.1,Good,kashmir file,17
19703,A Wednesday!,2008,6.9,Neutral,wednesday,12
235984,Goliyon Ki Raasleela Ram-Leela,2013,7,Bad,goliyon ki raasleela,30
778946,Mission Majnu,2023,6.8,Neutral,mission majnu,13
161226,Biwi No.1,1999,6,Neutral,biwi,9
126400,Gangs of Wasseypur - Part 2,2012,7.9,Good,gang wasseypur part,27
25638,Laaga Chunari Mein Daag,2007,5.5,Neutral,laaga chunari mein daag,23
965606,Bholaa,2023,6.4,Neutral,bholaa,6
966719,Kisi Ka Bhai... Kisi Ki Jaan,2023,5.7,Neutral,kisi ka bhai kisi ki jaan,28
801526,Darlings,2022,6.9,Neutral,darling,8
598826,Sardar Udham,2021,7.2,Good,sardar udham,12
1215760,Award,2023,6.389908638,Bad,award,5
915831,"Monica, O My Darling",2022,7.1,Good,monica darling,20
38022,Amar Akbar Anthony,1977,6.8,Neutral,amar akbar anthony,18
19670,Golmaal - Fun Unlimited,2006,6.6,Neutral,golmaal fun unlimited,23
12273,Singh Is Kinng,2008,5.6,Neutral,singh kinng,14
1205021,Rambo,2025,5.517954548,Bad,rambo,5
1160562,Friday Night Plan,2023,6,Neutral,friday night plan,17
413727,Hotel Salvation(Mukti Bhawan),2016,6.8,Neutral,hotel salvation mukti bhawan,29
877655,Dangerous,2022,1,Bad,dangerous,9
913838,All That Breathes,2022,6.8,Neutral,breathes,17
185640,Commando - A One Man Army,2013,6.4,Neutral,commando one man army,25
523277,Manmarziyaan,2018,7,Bad,manmarziyaan,12
336790,ABCD 2,2015,5.6,Neutral,abcd,6
37822,Badmaash Company,2010,5.8,Neutral,badmaash company,16
20002,Chandni Chowk to China,2009,4.6,Neutral,chandni chowk china,22
695962,Bhool Bhulaiyaa 2,2022,6.2,Neutral,bhool bhulaiyaa,17
915617,Hacker: Trust No One,2022,6.568361259,Bad,hacker trust one,20
56338,7 Khoon Maaf,2011,6.2,Neutral,khoon maaf,12
986594,Mrs. Chatterjee Vs Norway,2023,5.3,Neutral,chatterjee v norway,25
601337,83,2021,7.1,Good,,2
460713,102 Not Out,2018,7.5,Good,,11
766116,Runway 34,2022,6.4,Neutral,runway,9
401552,Sachin: A Billion Dreams,2017,7.4,Good,sachin billion dream,24
479918,Qarib Qarib Singlle,2017,7,Bad,qarib qarib singlle,19
726207,Phone Bhoot,2022,5.3,Neutral,phone bhoot,11
337876,Gabbar Is Back,2015,7,Bad,gabbar back,14
276935,Ek Villain,2014,6.5,Neutral,ek villain,10
27624,Maine Pyar Kiya,1989,6.1,Neutral,maine pyar kiya,15
828871,Meenakshi Sundareshwar,2021,5.3,Neutral,meenakshi sundareshwar,22
799177,Bhediya,2022,6.5,Neutral,bhediya,7
82698,Ladies vs Ricky Bahl,2011,6,Neutral,lady v ricky bahl,20
159664,Mann,1999,6.5,Neutral,mann,4
897525,A Thursday,2022,6.2,Neutral,thursday,10
888268,Anek,2022,6.2,Neutral,anek,4
20145,36 China Town,2006,5.7,Neutral,china town,13
763118,Ganapath,2023,2,Bad,ganapath,8
778625,Doctor G,2022,6.3,Neutral,doctor g,8
957136,Operation Romeo,2022,6.2,Neutral,operation romeo,15
46404,Manorama Six Feet Under,2007,6.5,Neutral,manorama six foot,23
886440,Dybbuk,2021,5.6,Neutral,dybbuk,6
1142127,Bawaal,2023,6,Neutral,bawaal,6
478682,Gold,2018,7.1,Good,gold,4
957999,Thank You For Coming,2023,5.3,Neutral,thank coming,20
764081,Ram Setu,2022,5,Neutral,ram setu,8
729700,Raksha Bandhan,2022,6,Neutral,raksha bandhan,14
569578,Ascharya Fuck It,2018,5.3,Neutral,ascharya fuck,16
695951,Chehre,2021,6.6,Neutral,chehre,6
35687,"LSD: Love, Sex aur Dhokha",2010,6.3,Neutral,lsd love sex aur dhokha,25
851783,Vikram Vedha,2022,6.9,Neutral,vikram vedha,12
882826,An Action Hero,2022,6.3,Neutral,action hero,14
799155,Attack,2022,7.3,Good,attack,6
302431,Rang Rasiya,2014,6.2,Neutral,rang rasiya,11
237305,Gori Tere Pyaar Mein,2013,5.9,Neutral,gori tere pyaar mein,20
270823,Talaash: The Hunt Begins,2003,5.5,Neutral,talaash hunt begin,24
679031,Aankh Micholi,2023,6.211036571,Bad,aankh micholi,13
1046688,Apurva,2023,5.5,Neutral,apurva,6
161179,Shakti: The Power,2002,6.3,Neutral,shakti power,17
